Id,Label,Jaccard Similarity,,,,,,,,
Lang-1-correct-1624652314098,CORRECT,0.089303404,,,,,,,,
Lang-10-correct-1624652313495,CORRECT,0.114791449,,,,,,,,
Lang-11-correct-1636433467012,CORRECT,0.520033423,,,,,,,,
Lang-12-correct-1624652313643,CORRECT,0.513105532,,,,,,,,
Lang-13-correct-1624652313639,CORRECT,0.539900901,,,,,,,,
Lang-14-correct-1624652313649,CORRECT,0.41318546,,,,,,,,
Lang-15-correct-1624652313645,CORRECT,0.05354264,,,,,,,,
Lang-16-correct-1624652313607,CORRECT,0.065478109,,,,,,,,
Lang-17-correct-1636433467127,CORRECT,0.172295946,,,,,,,,
Lang-18-correct-1624652313615,CORRECT,0.028635815,,,,,,,,
Lang-19-correct-1636433467133,CORRECT,0.19299835,,,,,,,,
Lang-20-correct-1624652313561,CORRECT,0.295216679,,,,,,,,
Lang-21-correct-1624652313579,CORRECT,0.556324002,,,,,,,,
Lang-22-correct-1624652313568,CORRECT,0.537068082,,,,,,,,
Lang-23-correct-1636433467196,CORRECT,0.53711636,,,,,,,,
Lang-24-correct-1624652313681,CORRECT,0.584853907,,,,,,,,
Lang-26-correct-1636433467199,CORRECT,0.509986175,,,,,,,,
Lang-27-correct-1624652313653,CORRECT,0.516918015,,,,,,,,
Lang-28-correct-1636433467178,CORRECT,0.557311085,,,,,,,,
Lang-29-correct-1628244108182,CORRECT,0.549440184,,,,,,,,
Lang-3-correct-1636433467335,CORRECT,0.074532292,,,,,,,,
Lang-30-correct-1636433467145,CORRECT,0.542192638,,,,,,,,
Lang-31-correct-1628244108177,CORRECT,0.55223684,,,,,,,,
Lang-32-correct-1636433467150,CORRECT,0.515449994,,,,,,,,
Lang-33-correct-1636433467147,CORRECT,0.557744075,,,,,,,,
Lang-34-correct-1636433467227,CORRECT,0.505107899,,,,,,,,
Lang-35-correct-1624652313767,CORRECT,0.532668459,,,,,,,,
Lang-36-correct-1636433467231,CORRECT,0.534828086,,,,,,,,
Lang-37-correct-1636433467230,CORRECT,0.542667502,,,,,,,,
Lang-38-correct-1636433467217,CORRECT,0.57510554,,,,,,,,
Lang-39-correct-1624652313706,CORRECT,0.516975886,,,,,,,,
Lang-4-correct-1636433467336,CORRECT,0.253668075,,,,,,,,
Lang-40-correct-1628244108191,CORRECT,0.580176369,,,,,,,,
Lang-41-correct-1624652313689,CORRECT,0.553537059,,,,,,,,
Lang-42-correct-1636433467201,CORRECT,0.065574989,,,,,,,,
Lang-44-correct-1624652313693,CORRECT,0.108118201,,,,,,,,
Lang-45-correct-1624652313849,CORRECT,0.514683064,,,,,,,,
Lang-46-correct-1624652313846,CORRECT,1,,,,,,,,
Lang-47-correct-1636433467264,CORRECT,0.06052774,,,,,,,,
Lang-48-correct-1636433467263,CORRECT,0.534770216,,,,,,,,
Lang-49-correct-1636433467236,CORRECT,0.533258713,,,,,,,,
Lang-5-correct-1636433467333,CORRECT,0.111923352,,,,,,,,
Lang-50-correct-1624652313821,CORRECT,0.068666544,,,,,,,,
Lang-51-correct-1624652313809,CORRECT,0.584760578,,,,,,,,
Lang-52-correct-1636433467233,CORRECT,0.016071281,,,,,,,,
Lang-53-correct-1624652313791,CORRECT,0.055640268,,,,,,,,
Lang-54-correct-1636433467233,CORRECT,0.101556572,,,,,,,,
Lang-55-correct-1624652313795,CORRECT,0.003641553,,,,,,,,
Lang-56-correct-1636433467285,CORRECT,0.341778512,,,,,,,,
Lang-57-correct-1624652313938,CORRECT,0.560212159,,,,,,,,
Lang-58-correct-1624652313967,CORRECT,0.036099814,,,,,,,,
Lang-59-correct-1624652313940,CORRECT,0.093037625,,,,,,,,
Lang-6-correct-1624652314101,CORRECT,0.124599651,,,,,,,,
Lang-60-correct-1624652313863,CORRECT,0.095770756,,,,,,,,
Lang-61-correct-1624652313873,CORRECT,0.074763406,,,,,,,,
Lang-62-correct-1636433467277,CORRECT,0.063084264,,,,,,,,
Lang-63-correct-1624652313852,CORRECT,0.150809716,,,,,,,,
Lang-64-correct-1636433467265,CORRECT,0.146099168,,,,,,,,
Lang-65-correct-1636433467276,CORRECT,0.094391175,,,,,,,,
Lang-7-correct-1624652314087,CORRECT,0.088844323,,,,,,,,
Lang-8-correct-1636433467332,CORRECT,0.063140554,,,,,,,,
Lang-9-correct-1636433467331,CORRECT,0.093843155,,,,,,,,
Lang-1-incorrect-1624652314099,INCORRECT,0,,,,,,,,
Lang-10-incorrect-1624652313496,INCORRECT,0.04757859,,,,,,,,
Lang-10-incorrect-1624652313495,INCORRECT,0.046153846,,,,,,,,
Lang-13-incorrect-1624652313641,INCORRECT,0.5,,,,,,,,
Lang-14-incorrect-1624652313650,INCORRECT,0.313253012,,,,,,,,
Lang-15-incorrect-1624652313646,INCORRECT,0,,,,,,,,
Lang-16-incorrect-1624652313613,INCORRECT,0,,,,,,,,
Lang-16-incorrect-1624652313614,INCORRECT,0,,,,,,,,
Lang-16-incorrect-1624652313610,INCORRECT,0,,,,,,,,
Lang-16-incorrect-1624652313608,INCORRECT,0,,,,,,,,
Lang-16-incorrect-1624652313609,INCORRECT,0,,,,,,,,
Lang-18-incorrect-1624652313616,INCORRECT,0.016260163,,,,,,,,
Lang-20-incorrect-1624652313565,INCORRECT,0.272727273,,,,,,,,
Lang-21-incorrect-1624652313579,INCORRECT,0.5,,,,,,,,
Lang-22-incorrect-1624652313569,INCORRECT,0.5,,,,,,,,
Lang-22-incorrect-1624652313570,INCORRECT,0.5,,,,,,,,
Lang-22-incorrect-1624652313572,INCORRECT,0.5,,,,,,,,
Lang-22-incorrect-1624652313574,INCORRECT,0.5,,,,,,,,
Lang-22-incorrect-1624652313575,INCORRECT,0.5,,,,,,,,
Lang-22-incorrect-1624652313576,INCORRECT,0.5,,,,,,,,
Lang-22-incorrect-1624652313577,INCORRECT,0.5,,,,,,,,
Lang-22-incorrect-1624652313578,INCORRECT,0.5,,,,,,,,
Lang-22-incorrect-1628244108151,INCORRECT,0.5,,,,,,,,
Lang-24-incorrect-1624652313682,INCORRECT,0.5,,,,,,,,
Lang-27-incorrect-1624652313654,INCORRECT,0.5,,,,,,,,
Lang-27-incorrect-1624652313655,INCORRECT,0.5,,,,,,,,
Lang-27-incorrect-1624652313656,INCORRECT,0.5,,,,,,,,
Lang-27-incorrect-1624652313657,INCORRECT,0.5,,,,,,,,
Lang-27-incorrect-1624652313658,INCORRECT,0.5,,,,,,,,
Lang-27-incorrect-1624652313659,INCORRECT,0.5,,,,,,,,
Lang-27-incorrect-1624652313661,INCORRECT,0.5,,,,,,,,
Lang-27-incorrect-1624652313662,INCORRECT,0.5,,,,,,,,
Lang-27-incorrect-1628244108178,INCORRECT,0.5,,,,,,,,
Lang-27-incorrect-1628244108180,INCORRECT,0.5,,,,,,,,
Lang-31-incorrect-1628244108176,INCORRECT,0.5,,,,,,,,
Lang-35-incorrect-1624652313768,INCORRECT,0.5,,,,,,,,
Lang-39-incorrect-1624652313707,INCORRECT,0.5,,,,,,,,
Lang-39-incorrect-1624652313708,INCORRECT,0.5,,,,,,,,
Lang-39-incorrect-1624652313709,INCORRECT,0.5,,,,,,,,
Lang-39-incorrect-1624652313710,INCORRECT,0.5,,,,,,,,
Lang-39-incorrect-1624652313711,INCORRECT,0.5,,,,,,,,
Lang-39-incorrect-1624652313712,INCORRECT,0.5,,,,,,,,
Lang-39-incorrect-1624652313713,INCORRECT,0.5,,,,,,,,
Lang-39-incorrect-1624652313716,INCORRECT,0.5,,,,,,,,
Lang-39-incorrect-1628244108193,INCORRECT,0.5,,,,,,,,
Lang-39-incorrect-1628244108195,INCORRECT,0.5,,,,,,,,
Lang-41-incorrect-1624652313690,INCORRECT,0.5,,,,,,,,
Lang-43-incorrect-1624652313700,INCORRECT,0.285714286,,,,,,,,
Lang-44-incorrect-1624652313694,INCORRECT,0.013513514,,,,,,,,
Lang-44-incorrect-1628244108187,INCORRECT,0.013513514,,,,,,,,
Lang-44-incorrect-1624652313695,INCORRECT,0.013513514,,,,,,,,
Lang-44-incorrect-1628244108188,INCORRECT,0.013513514,,,,,,,,
Lang-44-incorrect-1624652313696,INCORRECT,0.013513514,,,,,,,,
Lang-44-incorrect-1624652313697,INCORRECT,0.013513514,,,,,,,,
Lang-44-incorrect-1624652313698,INCORRECT,0.013513514,,,,,,,,
Lang-44-incorrect-1624652313699,INCORRECT,0.013513514,,,,,,,,
Lang-45-incorrect-1624652313849,INCORRECT,0.5,,,,,,,,
Lang-45-incorrect-1624652313850,INCORRECT,0.5,,,,,,,,
Lang-45-incorrect-1624652313851,INCORRECT,0.5,,,,,,,,
Lang-45-incorrect-1624652313852,INCORRECT,0.5,,,,,,,,
Lang-45-incorrect-1628244108235,INCORRECT,0.5,,,,,,,,
Lang-45-incorrect-1628244108246,INCORRECT,0.5,,,,,,,,
Lang-46-incorrect-1624652313847,INCORRECT,1,,,,,,,,
Lang-50-incorrect-1624652313822,INCORRECT,0,,,,,,,,
Lang-50-incorrect-1624652313826,INCORRECT,0,,,,,,,,
Lang-50-incorrect-1624652313829,INCORRECT,0,,,,,,,,
Lang-51-incorrect-1624652313810,INCORRECT,0.5,,,,,,,,
Lang-51-incorrect-1624652313811,INCORRECT,0.5,,,,,,,,
Lang-51-incorrect-1624652313812,INCORRECT,0.5,,,,,,,,
Lang-51-incorrect-1624652313813,INCORRECT,0.5,,,,,,,,
Lang-51-incorrect-1624652313814,INCORRECT,0.5,,,,,,,,
Lang-51-incorrect-1624652313815,INCORRECT,0.5,,,,,,,,
Lang-51-incorrect-1624652313816,INCORRECT,0.5,,,,,,,,
Lang-51-incorrect-1624652313817,INCORRECT,0.5,,,,,,,,
Lang-51-incorrect-1624652313818,INCORRECT,0.5,,,,,,,,
Lang-51-incorrect-1624652313819,INCORRECT,0.5,,,,,,,,
Lang-53-incorrect-1624652313794,INCORRECT,0.015267176,,,,,,,,
Lang-53-incorrect-1624652313793,INCORRECT,0.015267176,,,,,,,,
Lang-53-incorrect-1624652313792,INCORRECT,0.015267176,,,,,,,,
Lang-55-incorrect-1624652313808,INCORRECT,0,,,,,,,,
Lang-55-incorrect-1624652313807,INCORRECT,0,,,,,,,,
Lang-55-incorrect-1624652313809,INCORRECT,0,,,,,,,,
Lang-55-incorrect-1624652313796,INCORRECT,0,,,,,,,,
Lang-55-incorrect-1624652313797,INCORRECT,0,,,,,,,,
Lang-55-incorrect-1624652313804,INCORRECT,0,,,,,,,,
Lang-55-incorrect-1624652313803,INCORRECT,0,,,,,,,,
Lang-55-incorrect-1624652313806,INCORRECT,0,,,,,,,,
Lang-55-incorrect-1624652313805,INCORRECT,0,,,,,,,,
Lang-57-incorrect-1624652313939,INCORRECT,0.5,,,,,,,,
Lang-58-incorrect-1624652313969,INCORRECT,0.012048193,,,,,,,,
Lang-58-incorrect-1628244108279,INCORRECT,0.012048193,,,,,,,,
Lang-58-incorrect-1624652313970,INCORRECT,0.011904762,,,,,,,,
Lang-58-incorrect-1624652313971,INCORRECT,0.012048193,,,,,,,,
Lang-58-incorrect-1624652313974,INCORRECT,0.011904762,,,,,,,,
Lang-58-incorrect-1624652313972,INCORRECT,0.012048193,,,,,,,,
Lang-58-incorrect-1624652313973,INCORRECT,0.012048193,,,,,,,,
Lang-58-incorrect-1624652313968,INCORRECT,0.011904762,,,,,,,,
Lang-59-incorrect-1624652313959,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313958,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313957,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313941,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313963,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313962,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313961,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313960,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313945,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313944,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313943,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313965,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313942,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313964,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313949,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313948,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1628244108276,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313947,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1628244108277,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313946,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313952,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313951,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313950,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313956,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313955,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313954,INCORRECT,0.066666667,,,,,,,,
Lang-59-incorrect-1624652313953,INCORRECT,0.066666667,,,,,,,,
Lang-6-incorrect-1624652314104,INCORRECT,0.121008403,,,,,,,,
Lang-60-incorrect-1624652313864,INCORRECT,0.166666667,,,,,,,,
Lang-60-incorrect-1624652313865,INCORRECT,0.045454545,,,,,,,,
Lang-60-incorrect-1628244108261,INCORRECT,0.045454545,,,,,,,,
Lang-61-incorrect-1624652313880,INCORRECT,0.019607843,,,,,,,,
Lang-61-incorrect-1624652313875,INCORRECT,0.019607843,,,,,,,,
Lang-61-incorrect-1624652313876,INCORRECT,0.019607843,,,,,,,,
Lang-61-incorrect-1624652313879,INCORRECT,0.019607843,,,,,,,,
Lang-61-incorrect-1624652313877,INCORRECT,0.019607843,,,,,,,,
Lang-61-incorrect-1624652313878,INCORRECT,0.019607843,,,,,,,,
Lang-63-incorrect-1624652313859,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1624652313857,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1624652313858,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1628244108251,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1624652313862,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1624652313863,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1624652313860,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1624652313861,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1624652313855,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1624652313856,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1624652313853,INCORRECT,0.071428571,,,,,,,,
Lang-63-incorrect-1624652313854,INCORRECT,0.071428571,,,,,,,,
Lang-7-incorrect-1624652314088,INCORRECT,0,,,,,,,,
Lang-7-incorrect-1624652314098,INCORRECT,0,,,,,,,,
Lang-7-incorrect-1624652314089,INCORRECT,0,,,,,,,,
Lang-7-incorrect-1624652314091,INCORRECT,0,,,,,,,,
Lang-7-incorrect-1624652314090,INCORRECT,0.083969466,,,,,,,,
Lang-7-incorrect-1624652314093,INCORRECT,0,,,,,,,,
Lang-7-incorrect-1624652314092,INCORRECT,0,,,,,,,,
Lang-7-incorrect-1624652314095,INCORRECT,0,,,,,,,,
Lang-7-incorrect-1624652314094,INCORRECT,0,,,,,,,,
Lang-7-incorrect-1624652314096,INCORRECT,0,,,,,,,,
Lang-7-incorrect-1628244108309,INCORRECT,0,,,,,,,,